image_id,camera,product_id,raw_file_url,notes
539993,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/539993/3af632058d5646a793ebb81bfd145c78.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
539995,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/539995/7a8ba1f6aaa044368d4460a3c7daa054.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
539997,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/539997/dc1c8c1034da43fbae502ff084b10975.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
539999,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/539999/147549a33a274ea780cd141f8880ca63.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540001,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540001/3c2c6b17c52c4349b9fea3862a575175.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540003,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540003/8998e3299f7343c9ba1d4a59b5c6e639.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540005,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540005/667f9ff8954b4f71b99106e8c58f81e1.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540006,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540006/f54be4b3231047ef92e3ad69bdf3b193.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540008,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540008/a814567387c640748a2710bef77b4350.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540011,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540011/e74a28d41cd04475b3f5af44dcecb496.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540013,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540013/aa53b20448b942e8aaae8777ede21e15.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540015,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540015/a158be855ebd4f29b2350167fd290ba7.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540017,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540017/4d4ef5b3bfdd42b1bb34293647f83cef.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540019,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540019/c24d41588cfb41a9bf36ec27ae5d09e5.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540021,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540021/c905babbfc5f4fdb97baa204d47a0ac5.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540023,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540023/c5646970b0044f149e1b0fb7c2f54b01.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540025,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540025/1e993520e7444322a1f229bb64d4d59a.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540027,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540027/3a0df16d6120442c812ae25138b65576.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540029,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540029/eea69f1d1cce4657a11a4d8889533a2f.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540031,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540031/12ba06b015884ea2813f0f836749eea9.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540033,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540033/014a5386d86d41fdac980a69a7572339.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540034,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540034/6b366f919f224becba8d87e6a7761a88.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540037,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540037/d38a472571df4ce4a4a6e6f7c536566a.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
540039,Ricoh GR IV,182455,https://www.dpreview.com/wp-content/uploads/image-compare/519596/540039/7fbc17ddc2584b8ebd47a005ada51853.dng,"dpreview 스튜디오씬 비교위젯 API (widget id 541497, product_id로 필터) - EVALUATION.md '공용 챠트 데이터베이스' 절 참고"
